transaction_id,user_id,transaction_time,amount,currency,merchant_id,merchant_risk,device_id,is_chargeback,future_tx_flag,leak_label_hint
483fc852-e538-455d-b63b-bce44eefc242,6ca3a8ed-e43c-43db-89ea-0530b206f76b,2025-09-13T12:12:17,96.65,GBP,m_000084,0.010246935673249743,bfb3b98b-e342-40a5-9ff6-b45a878b849d,0,1,
ba088d54-cbe5-47b9-8d0d-973cf3dcac38,6ca3a8ed-e43c-43db-89ea-0530b206f76b,2025-11-11T22:28:30,108.91,JPY,m_000083,0.5780875462699829,bfb3b98b-e342-40a5-9ff6-b45a878b849d,0,0,
152a08d6-2daf-4469-91c7-3a779033456a,6ca3a8ed-e43c-43db-89ea-0530b206f76b,2025-08-15T22:08:47,180.97,USD,m_000090,0.21783096953868036,bfb3b98b-e342-40a5-9ff6-b45a878b849d,0,0,
c08069cd-c5c6-4c28-a830-00e3f98adf75,6ca3a8ed-e43c-43db-89ea-0530b206f76b,2025-01-30T16:34:56,24.27,CAD,m_000076,0.7826298266747644,bfb3b98b-e342-40a5-9ff6-b45a878b849d,0,0,
0d27f2a7-55ee-4d23-9023-291e53d1dc1a,6ca3a8ed-e43c-43db-89ea-0530b206f76b,2025-07-23T12:58:42,12.84,CAD,m_000058,0.5090163858046414,bfb3b98b-e342-40a5-9ff6-b45a878b849d,0,0,
d635a374-e7e9-4cb8-97c5-3c2c09e08187,6ca3a8ed-e43c-43db-89ea-0530b206f76b,2025-09-16T05:04:01,190.74,CAD,m_000031,0.012911896359480528,bfb3b98b-e342-40a5-9ff6-b45a878b849d,0,0,
082453b4-677e-4668-ad28-c412e27c185e,6ca3a8ed-e43c-43db-89ea-0530b206f76b,Jul 27 2025 12:15:26,17.03,EUR,m_000095,0.5902089943026397,,0,0,
75c50a49-87d4-41d1-8e75-f18d03ba9435,6ca3a8ed-e43c-43db-89ea-0530b206f76b,2026-02-07T07:07:43,367.93,EUR,m_000038,0.222838020241252,bfb3b98b-e342-40a5-9ff6-b45a878b849d,0,0,
fff67f7f-7e0f-40b9-bbd7-77b890d28cf8,6ca3a8ed-e43c-43db-89ea-0530b206f76b,2026-01-03T09:16:33,184.86,USD,m_000035,0.35331175289830885,bfb3b98b-e342-40a5-9ff6-b45a878b849d,0,0,0
135d690b-7c04-4a2f-8fdd-111ba6ed27e4,6b269105-400c-4438-9216-cbf461be432c,2026-01-06T04:29:24,101.67,CAD,m_000003,0.4130447378061896,,0,1,
f1e09a01-cf24-46fe-b17f-73915c704113,6b269105-400c-4438-9216-cbf461be432c,2025-09-19T01:10:08,43.08,JPY,m_000043,0.4661289421180941,a91cabbe-0400-43fc-af13-80138e70fe21,0,0,
aa27c854-ca3e-48e3-8dc0-a59b26ee3b04,6b269105-400c-4438-9216-cbf461be432c,2026-02-08T13:47:15,263.63,CAD,m_000048,1.0,a8a3e063-a15b-4550-99f3-69bbbce0fe5b,0,0,
c98561c1-5674-46f8-adc5-d43946dcfe8b,6b269105-400c-4438-9216-cbf461be432c,2026-01-19T19:51:13,6.79,AUD,m_000080,0.2543176325962418,,0,0,
35297362-f449-4f5a-8e18-cc90a0c32c46,6b269105-400c-4438-9216-cbf461be432c,2025-07-20T06:06:59,79.72,JPY,m_000019,0.8550324885472462,,0,0,
8d25c6de-82c5-4a3e-ba4e-401ce1e6abf5,0cb0a0c9-2034-4233-8dd3-48f204a85a63,2024-04-18T01:43:58,29.53,JPY,m_000042,0.8071879699188149,,0,1,
70e23ebc-8843-436b-adb3-b15a0ac1558c,0cb0a0c9-2034-4233-8dd3-48f204a85a63,2025-02-15T15:22:43,45.34,CAD,m_000017,0.12318532549596575,8ffbcaa0-6426-4778-8272-cf823e64af20,0,0,
cd15c1c0-e627-4623-8269-0aa43811e923,0cb0a0c9-2034-4233-8dd3-48f204a85a63,2023-11-26T06:51:28,185.59,GBP,m_000017,0.12318532549596575,,0,0,
e0ee679e-f126-4797-af6e-efbcb685086d,0cb0a0c9-2034-4233-8dd3-48f204a85a63,2025-08-25T05:23:35,21.68,JPY,m_000017,0.12318532549596575,8ffbcaa0-6426-4778-8272-cf823e64af20,0,0,
d55b2945-eb86-4d79-a593-b77fb2a8c019,0cb0a0c9-2034-4233-8dd3-48f204a85a63,2024-11-23T10:36:48,175.37,AUD,m_000018,1.0,8ffbcaa0-6426-4778-8272-cf823e64af20,0,0,
1491b7ad-f80e-490c-bb8b-4b4c254408be,0cb0a0c9-2034-4233-8dd3-48f204a85a63,2025-01-15T21:46:23,82.7,USD,m_000040,0.14725873507679224,8ffbcaa0-6426-4778-8272-cf823e64af20,0,0,
b20c81e1-e465-435a-a12a-aca724b5e835,0cb0a0c9-2034-4233-8dd3-48f204a85a63,2024-12-14T02:56:44,143.63,EUR,m_000015,0.13305086556896326,8ffbcaa0-6426-4778-8272-cf823e64af20,0,0,
308192e4-5682-47bb-a435-c6ea1860e2b2,0cb0a0c9-2034-4233-8dd3-48f204a85a63,2024-09-12T00:12:48,125.04,USD,m_000093,0.056925965601397045,,0,0,
a09ea1d0-d594-4f74-9a8b-b6b2426f0484,0cb0a0c9-2034-4233-8dd3-48f204a85a63,2025-05-20T12:54:56,23.26,JPY,m_000052,0.8076309028157247,8ffbcaa0-6426-4778-8272-cf823e64af20,0,0,
4dd1a1b7-baf8-41e1-846b-4dd5b310b79b,0cb0a0c9-2034-4233-8dd3-48f204a85a63,2024-03-08T13:58:56,84.12,AUD,m_000081,0.39533991262502755,8ffbcaa0-6426-4778-8272-cf823e64af20,0,0,
bd219c28-574b-4cc7-b241-6181a6aacbd3,0cb0a0c9-2034-4233-8dd3-48f204a85a63,2026-01-23T23:12:39,202.29,EUR,m_000013,0.13441366737883997,,0,0,
