user_id,signup_date,country,age,income,account_type,kyc_level,email_domain,total_txns,sum_amount,failed_logins,num_devices,recent_txns,account_age_days,avg_merchant_risk,is_fraud
6ca3a8ed-e43c-43db-89ea-0530b206f76b,2025-01-13T23:50:22,US,43,55852.07,basic,1,example.org,9,1184.2,1,1,1,395.0,0.3641202586403333,0
6b269105-400c-4438-9216-cbf461be432c,2025-04-30T07:50:37,GB,45,105690.9,basic,0,example.org,5,494.89,3,2,1,288.0,0.5977047602135543,0
0cb0a0c9-2034-4233-8dd3-48f204a85a63,2023-10-10T22:14:16,AU,35,52975.89,silver,1,example.net,11,1118.55,0,1,0,856.0,0.3501239995884961,0
ee964514-7f4b-4ad3-8d25-ea7d602b1c01,2024-10-02T11:07:57,US,56,83023.04,basic,1,example.org,9,1024.6200000000001,0,1,0,498.0,0.4991747223360749,0
30696ab6-bf86-4610-bd0c-44bcaff5460a,2025-05-24T19:13:25,FR,32,,basic,1,example.org,36,4586.92,1,1,0,264.0,0.4121019231943059,0
0221aa40-354f-4db6-aed6-7a42432f368b,2023-10-07T06:49:12,US,32,46028.11,silver,3,example.com,10,1110.6100000000001,0,1,0,859.0,0.5519456354421711,0
ed3992ed-e9f5-4d82-bcfe-8aa2f420d716,2025-08-29T23:27:01,FR,40,2601.59,silver,0,example.org,10,772.48,1,4,1,167.0,0.37131868300553317,0
1f9470b5-ae2d-4c6d-b3ec-55014216e9eb,2026-01-14T14:57:05,GB,18,43131.37,gold,1,example.net,10,1570.67,1,1,1,29.0,0.3749158950430894,0
2f242af1-edd4-4aaa-982a-bb79d6843adf,2024-12-22T02:02:27,CA,25,69427.42,basic,1,example.net,11,726.28,0,1,0,417.0,0.3568834585668442,0
8da002c7-e210-4b75-9472-b9de8e450a9a,2023-10-21T01:45:31,CA,27,17630.89,basic,1,example.com,8,857.43,1,2,0,846.0,0.2828965278707938,0
893baadd-0739-4598-bc33-c14343ce52a4,2023-12-14T22:36:12,AU,55,53226.71,gold,2,example.net,15,1780.06,0,1,0,791.0,0.36294221167186064,0
503a6a12-2a1f-4ced-8ffe-ed3f3e961604,2023-12-02T21:26:39,FR,38,17257.55,basic,3,example.net,4,514.78,2,1,0,803.0,0.6519736333990915,0
c20477f2-105a-4b9a-8ef2-09ff570e430c,2023-11-08T14:30:55,AU,31,63327.68,basic,3,example.net,8,1021.36,0,1,0,827.0,0.19798647096742877,0
f19f61cb-fa7e-4fa7-9b43-4f6310588443,2024-10-15T14:55:02,AU,24,71270.94,silver,2,example.org,6,333.01,0,1,0,485.0,0.41496923254851664,0
ec32b0ad-d05e-4312-b992-cd17e48d2747,2025-07-14T11:10:07,FR,30,51249.19,platinum,2,example.net,19,2119.34,1,1,0,213.0,0.41176342193729226,0
92faa3f7-6b87-4fdf-822a-344b8df16aaf,2025-09-30T14:44:19,GB,30,115568.35,basic,2,example.net,13,1248.23,0,1,2,135.0,0.3706926628245167,0
405b34cd-f22d-4b0b-9252-ab7521e3debe,2024.06.30 03:12:34,BR,37,28268.67,platinum,2,example.com,17,1069.21,0,4,0,365.0,0.40792727253326566,0
73325bd6-a72a-42fd-ae64-d2559433fe65,2025-05-11T21:05:06,DE,47,23374.69,basic,1,example.com,12,1532.71,2,1,0,277.0,0.5402574325148705,0
eb4b2cb7-a8fe-4adb-be61-1fb0ca43011d,2023-10-11T16:11:35,IR,40,1209.9,silver,2,example.org,7,1379.73,0,2,0,855.0,0.4323379145202813,0
bbccbb90-8036-4a64-b88a-341f56a84447,2025-09-13T21:19:05,AU,22,65905.84,silver,2,example.com,16,1242.52,1,2,0,152.0,0.37069719540770146,0
ed7b6e72-418f-4771-b810-1b0a93cfb664,2024-11-27T20:35:20,US,46,65141.05,basic,1,example.net,8,859.0999999999999,2,2,0,442.0,0.36169488692892643,0
bcbc6b5b-66be-4430-a0d1-118901e3d320,2023-11-15T20:09:41,DE,36,50966.89,basic,2,example.net,7,417.57,0,1,1,820.0,0.2576286246441172,0
abe6ab2d-6fd5-4fc8-9b3f-390ad79d4061,2025-05-16T02:41:51,GB,20,38404.67,silver,1,example.com,9,767.26,1,1,0,272.0,0.4902827728843392,0
519b0d87-2afd-497e-9d70-3aa4b3dc4463,2023-02-16T21:59:48,CA,32,91713.67,gold,1,example.org,12,917.17,2,1,0,1092.0,0.37304561736485015,0
1835841f-0953-4ed4-b1c7-88b11779044b,2025-09-24T04:55:28,AU,42,7108.8,basic,2,example.org,5,553.21,1,1,0,141.0,0.4583081441693017,0
eaa9f813-03fc-42a8-bed9-6856fc1e54fc,2023-07-30T19:54:39,BR,41,48447.53,basic,1,example.net,13,1005.93,1,1,0,928.0,0.528743060196346,0
ad73ca36-0fa1-4da3-9998-65f1d2a489d2,2025-11-15T18:32:04,AU,29,,silver,0,example.com,10,882.17,1,3,0,89.0,0.32880397288585833,0
a4c7a2ac-53c9-446f-bba8-2a3e25b90152,2023-11-02T17:35:54,FR,50,,basic,2,example.org,41,6381.04,1,3,1,833.0,0.37276501353118335,0
60884b61-ee10-466a-9f3a-eee56aade38b,2025-04-25T07:49:58,BR,27,50723.63,basic,1,example.org,4,406.4,1,2,1,293.0,0.36721630166195113,0
237d89e7-7c32-465f-85c2-4a23c01e1eca,2023-07-04T01:00:00,FR,41,89266.35,basic,2,example.com,10,715.52,0,2,0,955.0,0.44582294007445344,0
f199b7a7-14ff-40a1-a142-ba90b6289f35,2024-09-13T13:02:21,GB,32,,silver,2,example.net,7,732.88,0,3,0,517.0,0.2778049339354813,0
ead74b16-d0e0-4db8-91ce-0e8268230a97,2025-03-10T06:17:46,BR,24,24113.8,basic,1,example.net,11,1162.21,1,1,0,339.0,0.43627537019972257,0
576614b9-b895-45e8-b3cf-42e0a6f74de1,2024-06-22T01:30:40,GB,47,,platinum,2,example.net,9,605.6700000000001,0,1,0,601.0,0.4546150001064645,0
5ad3fe37-a6a6-4816-87ce-07e38ec05ba3,2024-10-12T07:16:59,AU,37,90105.99,basic,1,example.org,8,990.93,0,2,0,488.0,0.26592610663293675,0
beda4ea2-7ddd-4658-b8e0-e5fbe459b217,2023-10-22T05:12:00,IN,42,,basic,3,example.org,50,10623.54,2,1,0,844.0,0.4109563036304553,0
4528acf3-5279-4f8b-a941-8e4cc865be66,2023-12-15T11:50:54,BR,42,106141.1,basic,3,example.net,14,950.01,1,1,0,790.0,0.6757035578602055,0
625d4d7c-493c-41a9-8c7a-9c066e0573ea,2025-12-04T10:08:01,FR,37,,silver,2,example.com,9,647.68,0,1,2,70.0,0.295706518023801,0
9ef169b5-b3c8-4c31-bb1f-d94b64a4f888,2023-09-09T23:55:00,GB,18,84657.08,basic,0,example.com,6,1098.69,1,1,0,887.0,0.27769891717007755,0
f1d0644d-527d-4c2b-a88d-45482a8bde50,2024-07-09T02:07:56,AU,39,51029.78,basic,0,example.org,19,2018.81,2,1,2,583.0,0.4996921704405162,0
1e701bcc-f0bf-4634-8e8c-913f826ce7bc,2023-04-20T18:36:08,FR,39,372.93,basic,2,example.org,15,1417.97,1,1,1,1029.0,0.4276487650099586,0
