login_id,user_id,login_time,ip_address,device_type,success
9fd09bfe-2863-4d05-9cb2-706b4780e7fe,6ca3a8ed-e43c-43db-89ea-0530b206f76b,2026-01-13T02:53:29,199.189.146.63,mobile,1
67964494-82cf-44ca-b15f-40723e89cbf7,6ca3a8ed-e43c-43db-89ea-0530b206f76b,2025-07-24T00:50:15,108.233.84.146,iot,1
f83d3a1d-44be-4bc5-b0e6-6c7ea7be9bb8,6ca3a8ed-e43c-43db-89ea-0530b206f76b,2024-08-16T12:07:45,61.47.16.23,tablet,1
8de5b6c6-b7e8-43c5-8655-169d12fca9a2,6ca3a8ed-e43c-43db-89ea-0530b206f76b,2024-05-12T01:08:27,155.65.28.249,desktop,1
2a2af6bb-bde3-46a4-a895-d82956ab6fa7,6ca3a8ed-e43c-43db-89ea-0530b206f76b,2024-09-08T14:35:50,139.64.136.143,mobile,1
f3326cc6-7655-4770-a154-445a75bf2c2b,6ca3a8ed-e43c-43db-89ea-0530b206f76b,2024.06.30 02:27:57,138.104.249.125,,1
944e4252-30de-4db0-99ad-e827495be63d,6ca3a8ed-e43c-43db-89ea-0530b206f76b,2024-09-30T01:50:29,155.255.229.115,smart_tv,1
5217bb84-93e4-4e34-b8d9-1c0c64e2fb5d,6ca3a8ed-e43c-43db-89ea-0530b206f76b,2025-01-08T03:56:58,204.203.54.130,tablet,1
2de5e636-e435-4ae7-8171-a3c6bcce37a1,6ca3a8ed-e43c-43db-89ea-0530b206f76b,2026-02-07T23:59:58,65.13.33.176,mobile,1
070c69b1-3bc2-4c6c-a6bf-b52214ddce08,6ca3a8ed-e43c-43db-89ea-0530b206f76b,2024-12-19T14:37:32,134.97.132.207,mobile,1
8d33ed0f-6136-41c1-85ea-b090f9d2db2d,6ca3a8ed-e43c-43db-89ea-0530b206f76b,2025-01-07T12:38:32,204.66.214.107,iot,0
f1677fd7-6665-4e54-b99e-37931b2c20de,6b269105-400c-4438-9216-cbf461be432c,2025-02-13T23:36:52,157.24.167.237,iot,1
aa3f055d-1fcd-4fde-b4b2-621768b46b19,6b269105-400c-4438-9216-cbf461be432c,2024-10-09T17:54:57,94.13.129.29,mobile,1
5cf49a2d-0f63-410c-a8ac-7ea4120c0436,6b269105-400c-4438-9216-cbf461be432c,2025-12-20T21:34:22,175.219.20.244,mobile,1
810b8dc4-5d01-43d6-bcd7-8ecc6725b089,6b269105-400c-4438-9216-cbf461be432c,2024-05-10T19:42:52,202.202.167.107,mobile,1
a00e91f3-622b-47bc-8976-00679bf80bc8,6b269105-400c-4438-9216-cbf461be432c,2023-02-21T16:38:54,164.137.164.202,desktop,0
1d0c681c-5682-4480-a773-7bbd4b83d1a2,6b269105-400c-4438-9216-cbf461be432c,2023-12-03T14:02:48,221.69.91.149,desktop,1
f58a4398-8855-4690-983f-a434bf7f536b,6b269105-400c-4438-9216-cbf461be432c,2025-02-20T02:38:02,7.81.3.21,tablet,0
